legacy_game_id,player_name,competition_scope,game_date,season,team_tricode,opponent_tricode,points,final_score,source_coverage_tier,approximation_priority,local_dataset_status,suggested_model,discovery_source_url,best_supporting_source_url,notes
LG19620302WILT100,Chamberlain,Regular Season,1962-03-02,1961-62,PHW,NYK,100,169-147,manual_approximation_added,done,added,existing_manual_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders,https://www.espn.com/nba/dailydime/_/page/dime-120302-03/weekend-dime-half-century-later-wilt-100-stands-tallest,"Quarter splits available (23,18,28,31). Manual approximation already written into the local dataset."
LG19611208WILT78,Chamberlain,Regular Season,1961-12-08,1961-62,PHW,LAL,78,151-147,box_score_indexed,low,not_added,game_even_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders,https://www.nba.com/news/most-points-scored-by-a-player-in-an-nba-game,"Triple-overtime game. Current evidence is strong for the box score and result, but not for intra-game scoring distribution."
LG19620113WILT73,Chamberlain,Regular Season,1962-01-13,1961-62,PHW,CHI,73,135-117,box_score_plus_official_story,medium,not_added,game_even_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders,https://www.nba.com/news/week-history-wilt-chamberlain-73-points-36-rebounds,"Official NBA story and video stub exist. No quarter splits confirmed yet."
LG19601115BAYLOR71,Baylor,Regular Season,1960-11-15,1960-61,LAL,NYK,71,123-108,quarter_split_available,high,not_added,quarter_even_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders,https://time.com/archive/6809471/sport-fantastic-2/,"TIME reports 15 in Q1, 34 at halftime, 47 after three, and 71 final, which is enough to derive all four quarter totals."
LG19780409THOMPSON73,Thompson,Regular Season,1978-04-09,1977-78,DEN,DET,73,137-139,quarter_split_available,high,not_added,quarter_even_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders,https://www.espn.com/classic/s/moment010409-gervin-thompson.html,"ESPN confirms 32 in Q1 and 53 by halftime. Secondary recap sources provide the Q3/Q4 split as 6 and 14."
LG19780409GERVIN63,Gervin,Regular Season,1978-04-09,1977-78,SAS,NOJ,63,132-153,quarter_partial_available,medium,not_added,quarter_partial_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders,https://www.nba.com/news/history-nba-legend-george-gervin,"Known 33-point second quarter. Useful companion game to Thompson's 73 because both occurred on the same day."
LG19770225MARAVICH68,Maravich,Regular Season,1976-77,NOP,NYK,68,124-107,quarter_split_available,high,not_added,quarter_even_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders,https://www.espn.com/classic/s/moment010225maravich.html,"ESPN gives a full quarter breakdown: 17, 14, 17, 20."
LG19900328JORDAN69,Jordan,Regular Season,1990-03-28,1989-90,CHI,CLE,69,117-113,quarter_split_available,high,not_added,quarter_even_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders,https://www.nba.com/news/legendary-moments-history-michael-jordan-69-points-vs-cleveland-cavs-1990,"NBA.com gives quarter scoring breakdown: 16,15,20,10,8 in OT. Best non-Wilt pre-1996 regular-season candidate for quarter-aware reconstruction."
LG19940424ROBINSON71,Robinson,Regular Season,1993-94,SAS,LAC,71,112-97,quarter_split_available,high,not_added,quarter_even_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders,https://www.espn.com/classic/s/moment010424robinson.html,"ESPN gives a full quarter breakdown: 18, 6, 19, 28."
LG19860420JORDAN63PO,Jordan,Playoffs,1986-04-20,1985-86,CHI,BOS,63,131-135,quarter_partial_available,high,not_added,regulation_plus_ot_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_playoff_scoring_leaders,https://www.espn.com/classic/s/moment010420jordan.html,"ESPN gives 54 in regulation, 5 in the first OT, and 4 in the second OT. Quarter-by-quarter regulation detail is still missing."
LG19620414BAYLOR61PO,Baylor,Playoffs,1962-04-14,1961-62,LAL,BOS,61,126-121,quarter_partial_available,high,not_added,quarter_partial_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_playoff_scoring_leaders,https://www.espn.com/classic/s/moment010414elginbaylor.html,"ESPN gives 18 in Q1, 15 in Q2, and 28 in the second half."
LG19670510BARRY55PO,Barry,Playoffs,1967-05-10,1966-67,SFW,PHI,55,130-124,box_score_plus_video,medium,not_added,game_even_model,https://en.wikipedia.org/wiki/List_of_NBA_single-game_playoff_scoring_leaders,https://www.nba.com/watch/video/1967-rick-barry-explodes-for-55,"Second-highest Finals scoring game. Useful playoff legacy candidate."
