legacy_game_id,player_name,competition_scope,game_date,season,team_tricode,opponent_tricode,points,q1_points,q2_points,q3_points,q4_points,ot1_points,ot2_points,first_half_points,second_half_points,overtime_points,detail_completeness,confidence,suggested_model,primary_detail_source_url,secondary_detail_source_url,evidence_notes
LG19620302WILT100,Chamberlain,Regular Season,1962-03-02,1961-62,PHW,NYK,100,23,18,28,31,,,41,59,0,full_quarters,high,existing_manual_model,https://www.espn.com/nba/dailydime/_/page/dime-120302-03/weekend-dime-half-century-later-wilt-100-stands-tallest,https://www.sfgate.com/sports/ostler/article/Golden-anniversary-of-Chamberlain-s-100-point-game-3375905.php,"Published quarter splits support the existing manual approximation."
LG19601115BAYLOR71,Baylor,Regular Season,1960-11-15,1960-61,LAL,NYK,71,15,19,13,24,,,34,37,0,full_quarters_derived,high,quarter_even_model,https://time.com/archive/6809471/sport-fantastic-2/,https://www.nba.com/news/archive-75-elgin-baylor,"TIME reports 15 in Q1, 34 at halftime, 47 after three, 71 final; Q2, Q3, and Q4 are derived from those checkpoints."
LG19780409THOMPSON73,Thompson,Regular Season,1978-04-09,1977-78,DEN,DET,73,32,21,6,14,,,53,20,0,full_quarters_mixed_source,medium,quarter_even_model,https://www.espn.com/classic/s/moment010409-gervin-thompson.html,https://www.sportscasting.com/news/remembering-david-thompsons-73-point-game-for-the-denver-nuggets/,"ESPN confirms 32 in Q1 and 53 at halftime. Secondary recap provides the remaining quarter split as 6 in Q3 and 14 in Q4."
LG19940424ROBINSON71,Robinson,Regular Season,1994-04-24,1993-94,SAS,LAC,71,18,6,19,28,,,24,47,0,full_quarters,high,quarter_even_model,https://www.espn.com/classic/s/moment010424robinson.html,https://www.nba.com/news/legendary-moments-history-david-robinson-scoring-title,"ESPN gives a complete quarter scoring breakdown."
LG19900328JORDAN69,Jordan,Regular Season,1990-03-28,1989-90,CHI,CLE,69,16,15,20,10,8,,31,30,8,full_quarters_plus_ot,high,quarter_even_model,https://www.nba.com/news/legendary-moments-history-michael-jordan-69-points-vs-cleveland-cavs-1990,,"NBA.com gives all quarter and OT splits directly."
LG19770225MARAVICH68,Maravich,Regular Season,1977-02-25,1976-77,NOP,NYK,68,17,14,17,20,,,31,37,0,full_quarters,high,quarter_even_model,https://www.espn.com/classic/s/moment010225maravich.html,https://www.nba.com/news/legendary-moments-history-pete-maravich-68-points-vs-knicks-1977,"ESPN gives a complete quarter scoring breakdown."
LG19780409GERVIN63,Gervin,Regular Season,1978-04-09,1977-78,SAS,NOJ,63,20,33,,,,,53,10,0,first_half_only,high,quarter_partial_model,https://www.espn.com/classic/s/moment010409-gervin-thompson.html,https://www.nba.com/news/history-nba-legend-george-gervin,"ESPN confirms 20 in Q1, 33 in Q2, and 53 by halftime. Second-half quarter split remains unknown."
LG19620414BAYLOR61PO,Baylor,Playoffs,1962-04-14,1961-62,LAL,BOS,61,18,15,,,,,33,28,0,first_half_plus_second_half_total,high,quarter_partial_model,https://www.espn.com/classic/s/moment010414elginbaylor.html,https://www.nba.com/news/history-top-moments-elgin-baylor-scores-61-in-finals,"ESPN gives 18 in Q1, 15 in Q2, and 28 in the second half; Q3 and Q4 remain unresolved."
LG19860420JORDAN63PO,Jordan,Playoffs,1986-04-20,1985-86,CHI,BOS,63,,,,,5,4,,,9,regulation_plus_ot_only,medium,regulation_plus_ot_model,https://www.espn.com/classic/s/moment010420jordan.html,https://www.nba.com/news/history-top-moments-jordan-63-playoffs,"ESPN confirms 54 in regulation, 5 in the first overtime, and 4 in the second overtime. Regulation quarter split remains unresolved."
LG19611208WILT78,Chamberlain,Regular Season,1961-12-08,1961-62,PHW,LAL,78,,,,,,,,,box_score_only,low,game_even_model,https://www.nba.com/news/every-70-point-game-in-nba-history,https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders,"Strong box score and result evidence, but no quarter or half split has been verified yet."
